Num,RT,Male,Female,None,Pct
100,28,15,8,5,0.6522
200,51,29,13,9,0.6905
300,90,49,25,16,0.6622
400,116,69,30,17,0.6970
500,144,90,35,19,0.7200
600,173,112,40,21,0.7368
700,189,125,42,22,0.7485
800,213,141,48,24,0.7460
900,237,156,54,27,0.7429
1000,267,172,62,33,0.7350
1100,296,188,73,35,0.7203
1200,317,201,79,37,0.7179
1300,334,212,84,38,0.7162
1400,360,220,92,48,0.7051
1500,388,239,95,54,0.7156
1600,415,254,103,58,0.7115
1700,451,274,114,63,0.7062
1800,483,291,123,69,0.7029
1900,501,302,129,70,0.7007
2000,533,319,139,75,0.6965
2100,569,346,147,76,0.7018
2200,610,366,163,81,0.6919
2300,639,382,172,85,0.6895
2400,675,407,180,88,0.6934
2500,706,426,189,91,0.6927
2600,742,443,198,101,0.6911
2700,780,468,208,104,0.6923
2800,814,490,217,107,0.6931
2900,846,510,226,110,0.6929
3000,886,532,234,120,0.6945
3100,912,549,239,124,0.6967
3200,942,565,247,130,0.6958
3300,970,584,254,132,0.6969
3400,1006,603,266,137,0.6939
3500,1033,616,276,141,0.6906
3600,1064,635,284,145,0.6910
3700,1098,656,293,149,0.6913
3800,1135,679,305,151,0.6900
3900,1181,708,316,157,0.6914
4000,1207,722,323,162,0.6909
4100,1232,736,331,165,0.6898
4200,1261,753,338,170,0.6902
4300,1300,769,351,180,0.6866
4400,1337,793,362,182,0.6866
4500,1364,805,372,187,0.6839
4600,1388,818,378,192,0.6839
4700,1427,839,392,196,0.6816
4800,1474,871,402,201,0.6842
4900,1509,887,418,204,0.6797
5000,1538,903,426,209,0.6795
5100,1565,914,434,217,0.6780
5200,1588,926,440,222,0.6779
5300,1617,941,452,224,0.6755
5400,1649,961,459,229,0.6768
5500,1676,976,468,232,0.6759
5600,1713,997,478,238,0.6759
5700,1751,1019,491,241,0.6748
5800,1784,1034,504,246,0.6723
5900,1828,1056,518,254,0.6709
6000,1864,1080,526,258,0.6725
6100,1902,1096,543,263,0.6687
6200,1935,1110,553,272,0.6675
6300,1966,1126,561,279,0.6675
6400,2008,1151,574,283,0.6672
6500,2034,1165,581,288,0.6672
6600,2058,1177,591,290,0.6657
6700,2087,1194,600,293,0.6656
6800,2121,1212,611,298,0.6648
6900,2160,1229,626,305,0.6625
7000,2204,1252,642,310,0.6610
7100,2247,1276,656,315,0.6605
7200,2269,1288,659,322,0.6615
7300,2300,1307,669,324,0.6614
7400,2338,1334,677,327,0.6634
7500,2362,1345,684,333,0.6629
7600,2408,1364,703,341,0.6599
7700,2440,1381,711,348,0.6601
7800,2477,1402,724,351,0.6595
7900,2519,1424,738,357,0.6586
8000,2557,1443,754,360,0.6568
8100,2593,1464,765,364,0.6568
8200,2626,1482,776,368,0.6563
8300,2662,1505,788,369,0.6563
8400,2703,1522,805,376,0.6541
8500,2737,1546,812,379,0.6556
8600,2770,1566,821,383,0.6561
8700,2802,1582,828,392,0.6564
8800,2830,1600,835,395,0.6571
8900,2845,1607,838,400,0.6573
9000,2871,1620,845,406,0.6572
9100,2905,1636,857,412,0.6562
9200,2935,1654,866,415,0.6563
9300,2973,1676,878,419,0.6562
9400,3014,1700,890,424,0.6564
9500,3042,1719,894,429,0.6579
9600,3068,1732,903,433,0.6573
9700,3094,1747,909,438,0.6578
9800,3132,1765,922,445,0.6569
9900,3158,1777,932,449,0.6560
10000,3184,1794,937,453,0.6569
10100,3201,1804,941,456,0.6572
10200,3230,1821,949,460,0.6574
10300,3254,1835,956,463,0.6575
10400,3274,1843,965,466,0.6563
10500,3294,1853,968,473,0.6569
10600,3316,1864,976,476,0.6563
10700,3349,1878,988,483,0.6553
10800,3382,1897,997,488,0.6555
10900,3409,1914,1004,491,0.6559
11000,3446,1933,1016,497,0.6555
11100,3476,1951,1023,502,0.6560
11200,3508,1967,1031,510,0.6561
11300,3532,1980,1040,512,0.6556
11400,3565,1997,1054,514,0.6545
11500,3584,2008,1061,515,0.6543
11600,3609,2022,1066,521,0.6548
11700,3629,2032,1073,524,0.6544
11800,3648,2048,1076,524,0.6556
11900,3679,2068,1083,528,0.6563
12000,3692,2072,1087,533,0.6559
12100,3722,2089,1097,536,0.6557
12200,3752,2100,1111,541,0.6540
12300,3792,2118,1124,550,0.6533
12400,3819,2129,1133,557,0.6527
12500,3845,2145,1141,559,0.6528
12600,3866,2161,1144,561,0.6539
12700,3899,2180,1158,561,0.6531
12800,3930,2194,1170,566,0.6522
12900,3948,2203,1178,567,0.6516
13000,3976,2217,1188,571,0.6511
13100,3998,2234,1191,573,0.6523
13200,4025,2250,1196,579,0.6529
13300,4048,2264,1200,584,0.6536
13400,4071,2276,1207,588,0.6535
13500,4099,2293,1217,589,0.6533
13600,4116,2303,1222,591,0.6533
13700,4141,2318,1230,593,0.6533
13800,4159,2327,1235,597,0.6533
13900,4184,2338,1244,602,0.6527
14000,4219,2359,1253,607,0.6531
14100,4254,2378,1265,611,0.6528
14200,4279,2395,1270,614,0.6535
14300,4305,2406,1281,618,0.6526
14400,4340,2427,1288,625,0.6533
14500,4370,2445,1299,626,0.6530
14600,4393,2453,1310,630,0.6519
14700,4411,2464,1316,631,0.6519
14800,4437,2473,1332,632,0.6499
14900,4462,2488,1340,634,0.6499
15000,4482,2498,1349,635,0.6493
15100,4509,2514,1355,640,0.6498
15200,4529,2520,1363,646,0.6490
15300,4557,2535,1372,650,0.6488
15400,4586,2549,1387,650,0.6476
15500,4603,2556,1395,652,0.6469
15600,4628,2571,1403,654,0.6470
15700,4649,2580,1409,660,0.6468
15800,4685,2600,1421,664,0.6466
15900,4704,2610,1427,667,0.6465
16000,4737,2625,1437,675,0.6462
16100,4771,2650,1442,679,0.6476
16200,4800,2664,1453,683,0.6471
16300,4830,2675,1466,689,0.6460
16400,4844,2681,1470,693,0.6459
16500,4872,2694,1481,697,0.6453
16600,4897,2706,1489,702,0.6451
16700,4923,2722,1495,706,0.6455
16800,4947,2730,1506,711,0.6445
16900,4963,2737,1512,714,0.6442
17000,4981,2749,1514,718,0.6449
17100,5005,2765,1518,722,0.6456
17200,5044,2796,1524,724,0.6472
17300,5067,2810,1529,728,0.6476
17400,5098,2825,1542,731,0.6469
17500,5117,2840,1543,734,0.6480
17600,5139,2855,1547,737,0.6486
17700,5171,2866,1560,745,0.6475
17800,5188,2872,1568,748,0.6468
17900,5220,2891,1577,752,0.6470
18000,5234,2896,1581,757,0.6469
18100,5267,2909,1595,763,0.6459
18200,5280,2915,1601,764,0.6455
18300,5301,2928,1606,767,0.6458
18400,5326,2943,1612,771,0.6461
18500,5347,2955,1617,775,0.6463
18600,5365,2966,1623,776,0.6463
18700,5394,2983,1634,777,0.6461
18800,5419,2992,1645,782,0.6452
