Run,RT,Male,Female,None,Pct
0,34,21,6,7,0.7778
1,19,11,5,3,0.6875
2,19,8,5,6,0.6154
3,27,17,5,5,0.7727
4,26,15,5,6,0.7500
5,29,21,4,4,0.8400
6,21,7,10,4,0.4118
7,19,12,4,3,0.7500
8,21,10,4,7,0.7143
9,24,13,5,6,0.7222
10,24,15,2,7,0.8824
11,19,9,6,4,0.6000
12,33,27,2,4,0.9310
13,26,14,4,8,0.7778
14,17,12,2,3,0.8571
15,21,12,4,5,0.7500
16,27,12,7,8,0.6316
17,24,13,9,2,0.5909
18,21,13,6,2,0.6842
19,19,10,4,5,0.7143
20,31,19,8,4,0.7037
21,22,13,4,5,0.7647
22,32,18,8,6,0.6923
23,19,12,4,3,0.7500
24,27,20,3,4,0.8696
25,26,12,9,5,0.5714
26,25,16,5,4,0.7619
27,27,19,5,3,0.7917
28,29,20,4,5,0.8333
29,31,17,4,10,0.8095
30,20,7,8,5,0.4667
31,30,16,8,6,0.6667
32,28,18,7,3,0.7200
33,29,17,8,4,0.6800
34,18,13,3,2,0.8125
35,26,14,6,6,0.7000
36,18,13,3,2,0.8125
37,28,16,5,7,0.7619
38,29,14,7,8,0.6667
39,27,14,10,3,0.5833
40,21,11,7,3,0.6111
41,20,14,6,0,0.7000
42,20,8,6,6,0.5714
43,24,12,8,4,0.6000
44,25,17,6,2,0.7391
45,33,18,10,5,0.6429
46,20,16,3,1,0.8421
47,26,18,4,4,0.8182
48,30,17,5,8,0.7727
49,33,20,6,7,0.7692
50,29,18,8,3,0.6923
51,31,20,6,5,0.7692
52,27,16,6,5,0.7273
53,23,10,10,3,0.5000
54,23,10,6,7,0.6250
55,29,19,4,6,0.8261
56,22,15,5,2,0.7500
57,18,9,4,5,0.6923
58,24,19,3,2,0.8636
59,29,15,7,7,0.6818
60,27,19,4,4,0.8261
61,31,18,9,4,0.6667
62,32,16,8,8,0.6667
63,31,21,8,2,0.7241
64,23,19,1,3,0.9500
65,28,17,6,5,0.7391
66,22,15,3,4,0.8333
67,23,9,10,4,0.4737
68,26,14,6,6,0.7000
69,19,10,7,2,0.5882
70,24,16,5,3,0.7619
71,25,10,6,9,0.6250
72,24,18,6,0,0.7500
73,29,14,11,4,0.5600
74,26,17,5,4,0.7727
75,30,18,7,5,0.7200
76,26,20,3,3,0.8696
77,24,11,7,6,0.6111
78,17,10,4,3,0.7143
79,22,16,6,0,0.7273
80,20,12,3,5,0.8000
81,28,17,7,4,0.7083
82,29,18,8,3,0.6923
83,26,16,3,7,0.8421
84,24,14,6,4,0.7000
85,23,10,7,6,0.5882
86,24,13,7,4,0.6500
87,13,5,5,3,0.5000
88,33,19,7,7,0.7308
89,36,23,8,5,0.7419
90,21,11,5,5,0.6875
91,26,15,6,5,0.7143
92,23,14,4,5,0.7778
93,23,12,7,4,0.6316
94,25,15,6,4,0.7143
95,22,14,4,4,0.7778
96,29,13,7,9,0.6500
97,23,13,5,5,0.7222
98,27,14,9,4,0.6087
99,30,19,7,4,0.7308
100,26,13,6,7,0.6842
101,24,14,4,6,0.7778
102,20,14,4,2,0.7778
103,21,13,6,2,0.6842
104,27,18,5,4,0.7826
105,27,14,11,2,0.5600
106,25,16,6,3,0.7273
107,26,19,2,5,0.9048
108,23,13,6,4,0.6842
109,28,17,5,6,0.7727
110,18,8,5,5,0.6154
111,27,17,8,2,0.6800
112,22,13,4,5,0.7647
113,14,7,5,2,0.5833
114,20,10,7,3,0.5882
115,18,10,5,3,0.6667
116,22,19,1,2,0.9500
117,23,10,8,5,0.5556
118,30,17,6,7,0.7391
119,24,17,4,3,0.8095
120,26,18,4,4,0.8182
121,23,15,4,4,0.7895
122,26,18,4,4,0.8182
123,24,14,7,3,0.6667
124,21,14,3,4,0.8235
125,23,9,8,6,0.5294
126,20,14,5,1,0.7368
127,19,12,3,4,0.8000
128,21,10,8,3,0.5556
129,26,15,10,1,0.6000
130,29,14,6,9,0.7000
131,27,17,5,5,0.7727
132,22,14,6,2,0.7000
133,23,10,6,7,0.6250
134,29,13,10,6,0.5652
135,20,11,7,2,0.6111
136,30,20,4,6,0.8333
137,21,11,6,4,0.6471
138,32,19,9,4,0.6786
139,23,14,8,1,0.6364
140,23,14,5,4,0.7368
141,26,14,5,7,0.7368
142,28,18,6,4,0.7500
143,22,15,6,1,0.7143
144,35,21,8,6,0.7241
145,25,19,3,3,0.8636
146,25,14,8,3,0.6364
147,25,14,6,5,0.7000
148,21,11,5,5,0.6875
149,27,14,10,3,0.5833
150,33,20,8,5,0.7143
151,20,11,6,3,0.6471
152,28,16,6,6,0.7273
153,25,14,6,5,0.7000
154,24,13,7,4,0.6500
155,23,15,5,3,0.7500
156,22,10,7,5,0.5882
157,23,16,5,2,0.7619
158,29,14,8,7,0.6364
159,24,14,7,3,0.6667
160,31,17,8,6,0.6800
161,24,16,5,3,0.7619
162,26,15,6,5,0.7143
163,19,12,5,2,0.7059
164,31,15,6,10,0.7143
165,14,8,3,3,0.7273
166,25,18,5,2,0.7826
167,20,9,6,5,0.6000
168,28,13,6,9,0.6842
169,23,8,10,5,0.4444
170,23,11,7,5,0.6111
171,31,16,7,8,0.6957
172,32,20,8,4,0.7143
173,27,14,6,7,0.7000
174,32,12,10,10,0.5455
175,35,21,10,4,0.6774
176,28,12,8,8,0.6000
177,29,13,11,5,0.5417
178,26,15,6,5,0.7143
179,20,10,7,3,0.5882
180,24,14,7,3,0.6667
181,28,14,5,9,0.7368
