Offset,Date,RT,Male,Female,None,Pct
0,2012-07-07,21,8,3,10,0.7273
10,2012-07-08,20,9,3,8,0.7500
34,2012-07-09,21,11,4,6,0.7333
63,2012-07-10,26,17,5,4,0.7727
94,2012-07-11,28,20,4,4,0.8333
170,2012-07-12,20,12,3,5,0.8000
213,2012-07-13,19,7,6,6,0.5385
306,2012-07-14,26,8,4,14,0.6667
333,2012-07-15,21,9,1,11,0.9000
340,2012-07-16,21,11,1,9,0.9167
365,2012-07-17,25,14,2,9,0.8750
391,2012-07-18,27,14,4,9,0.7778
435,2012-07-19,26,14,6,6,0.7000
477,2012-07-20,27,14,9,4,0.6087
496,2012-07-21,22,9,7,6,0.5625
524,2012-07-22,27,10,9,8,0.5263
561,2012-07-23,28,13,8,7,0.6190
628,2012-07-24,33,17,9,7,0.6538
691,2012-07-25,37,18,14,5,0.5625
788,2012-07-26,33,19,10,4,0.6552
811,2012-07-27,31,18,7,6,0.7200
947,2012-07-28,28,20,3,5,0.8696
983,2012-07-29,37,23,7,7,0.7667
1039,2012-07-30,30,13,12,5,0.5200
1056,2012-07-31,28,12,13,3,0.4800
1135,2012-08-01,18,10,6,2,0.6250
1167,2012-08-02,19,8,7,4,0.5333
1199,2012-08-03,20,8,7,5,0.5333
1268,2012-08-04,24,15,6,3,0.7143
1303,2012-08-05,31,17,7,7,0.7083
1377,2012-08-06,29,11,8,10,0.5789
1454,2012-08-07,29,15,7,7,0.6818
1538,2012-08-08,36,18,10,8,0.6429
1593,2012-08-09,42,26,8,8,0.7647
1663,2012-08-10,39,13,21,5,0.3824
1714,2012-08-11,42,8,29,5,0.2162
1777,2012-08-12,30,10,13,7,0.4348
1833,2012-08-13,27,13,5,9,0.7222
1896,2012-08-14,34,20,6,8,0.7692
1970,2012-08-15,28,15,6,7,0.7143
2002,2012-08-16,18,9,4,5,0.6923
2034,2012-08-17,14,8,2,4,0.8000
2048,2012-08-18,11,7,2,2,0.7778
2095,2012-08-19,15,10,1,4,0.9091
2148,2012-08-20,33,21,4,8,0.8400
2209,2012-08-21,35,20,8,7,0.7143
2251,2012-08-22,30,16,8,6,0.6667
2278,2012-08-23,28,14,7,7,0.6667
2322,2012-08-24,30,12,7,11,0.6316
2343,2012-08-25,21,10,4,7,0.7143
2359,2012-08-26,21,10,3,8,0.7692
2389,2012-08-27,27,13,7,7,0.6500
2446,2012-08-28,23,11,6,6,0.6471
2514,2012-08-29,31,19,4,8,0.8261
2567,2012-08-30,28,16,5,7,0.7619
2631,2012-08-31,29,17,7,5,0.7083
2727,2012-09-01,31,15,4,12,0.7895
2757,2012-09-02,28,13,3,12,0.8125
2790,2012-09-03,24,15,1,8,0.9375
2831,2012-09-04,30,16,5,9,0.7619
2889,2012-09-05,38,18,10,10,0.6429
2934,2012-09-06,34,18,9,7,0.6667
3025,2012-09-07,18,8,8,2,0.5000
3062,2012-09-08,11,4,6,1,0.4000
3110,2012-09-09,13,9,2,2,0.8182
3141,2012-09-10,25,15,6,4,0.7143
3202,2012-09-11,27,16,5,6,0.7619
3288,2012-09-12,31,14,10,7,0.5833
3367,2012-09-13,28,17,7,4,0.7083
3434,2012-09-14,28,14,8,6,0.6364
3515,2012-09-15,26,11,7,8,0.6111
3541,2012-09-16,30,15,7,8,0.6818
3553,2012-09-17,28,14,6,8,0.7000
3581,2012-09-18,30,15,8,7,0.6522
3617,2012-09-19,35,23,9,3,0.7188
3683,2012-09-20,34,18,11,5,0.6207
3807,2012-09-21,20,5,7,8,0.4167
3867,2012-09-22,14,5,3,6,0.6250
3921,2012-09-23,23,7,8,8,0.4667
3964,2012-09-24,19,6,8,5,0.4286
4024,2012-09-25,23,12,9,2,0.5714
4135,2012-09-26,23,13,3,7,0.8125
4222,2012-09-27,29,23,5,1,0.8214
4339,2012-09-28,24,13,4,7,0.7647
4397,2012-09-29,24,15,2,7,0.8824
4412,2012-09-30,24,15,2,7,0.8824
4435,2012-10-01,24,15,2,7,0.8824
4516,2012-10-02,32,16,6,10,0.7273
4592,2012-10-03,36,21,9,6,0.7000
4667,2012-10-04,25,11,7,7,0.6111
4754,2012-10-05,23,14,6,3,0.7000
4824,2012-10-06,24,10,5,9,0.6667
4840,2012-10-07,22,11,3,8,0.7857
4859,2012-10-08,22,13,2,7,0.8667
4930,2012-10-09,30,19,5,6,0.7917
5000,2012-10-10,25,11,5,9,0.6875
5069,2012-10-11,26,13,6,7,0.6842
5159,2012-10-12,38,25,7,6,0.7812
5207,2012-10-13,23,15,4,4,0.7895
5219,2012-10-14,20,13,4,3,0.7647
5248,2012-10-15,15,8,5,2,0.6154
5317,2012-10-16,14,11,3,0,0.7857
5372,2012-10-17,17,15,2,0,0.8824
5420,2012-10-18,22,14,2,6,0.8750
5451,2012-10-19,25,15,1,9,0.9375
5491,2012-10-20,27,19,3,5,0.8636
5512,2012-10-21,27,19,3,5,0.8636
5515,2012-10-22,30,19,5,6,0.7917
5589,2012-10-23,33,23,4,6,0.8519
5675,2012-10-24,41,23,8,10,0.7419
5760,2012-10-25,31,17,9,5,0.6538
5827,2012-10-26,27,14,7,6,0.6667
5910,2012-10-27,28,15,8,5,0.6522
5936,2012-10-28,34,16,13,5,0.5517
6004,2012-10-29,28,13,9,6,0.5909
6061,2012-10-30,28,15,8,5,0.6522
6154,2012-10-31,25,13,8,4,0.6190
6201,2012-11-01,28,14,9,5,0.6087
6266,2012-11-02,29,18,5,6,0.7826
6336,2012-11-03,27,17,4,6,0.8095
6402,2012-11-04,25,18,3,4,0.8571
6459,2012-11-05,29,19,3,7,0.8636
